"","lon","lat","bio1","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9"
"1",11.7940635537548,3.81966521972695,238,245,229,1604,290,21,62,655,97,363,419,92,82,634,298,187,111,234,242
"2",28.0955980527758,-5.82678414598095,243,248,233,1111,190,3,72,521,15,323,15,110,71,676,310,157,153,242,233
"3",2.52441550949493,11.6622737611164,279,314,257,866,244,0,113,589,2,110,3,133,59,2281,389,167,222,263,262
"4",-0.477166017802364,6.47736891845292,232,242,218,1587,228,28,47,569,137,382,438,99,76,936,302,173,129,235,236
"5",2.03961992087186,11.6874947743564,284,317,265,853,234,0,112,583,1,110,2,134,61,2141,393,174,219,267,269
"6",13.1293251963692,-0.314296393564291,242,251,227,1676,279,9,58,657,65,581,65,88,75,930,302,185,117,244,227
"7",27.4256074370306,0.335229869681978,238,244,231,1805,202,86,25,555,292,538,437,108,88,477,302,180,122,235,239
"8",-7.23972391515328,5.5707585350778,258,269,246,1826,268,34,48,641,161,386,489,87,76,870,321,208,113,261,263
"9",32.3129631803298,13.9981589711468,289,321,247,251,107,0,161,220,0,26,0,147,59,2788,411,163,248,294,260
"10",-3.5420120972231,8.51052690681012,267,286,250,1083,200,5,65,450,44,208,450,110,68,1308,354,194,160,250,265
"11",15.6403864655443,-12.4041584202946,198,211,176,1286,240,0,84,623,2,337,17,128,63,1433,291,89,202,205,178
"12",13.7408788553376,10.1221666754752,261,291,243,938,254,0,109,619,0,135,619,133,63,1937,373,163,210,243,250
"13",0.0653357627284414,6.08427843087572,271,286,257,1126,196,20,54,480,101,270,224,100,75,1106,345,212,133,275,277
"14",-7.36470602875982,6.86691144874415,254,267,241,1493,288,14,63,652,82,285,611,108,70,986,334,180,154,245,253
"15",-2.21108514967716,11.3835798884939,277,306,260,869,244,0,110,584,5,117,584,131,62,1947,380,170,210,260,265
"16",37.7670987981314,-8.51625444143364,239,254,216,1251,242,6,86,673,28,421,29,78,60,1516,296,168,128,248,220
"17",11.2360802334704,4.07466879957765,245,255,233,1796,317,18,62,773,84,204,565,88,75,904,309,192,117,235,254
"18",2.24839196594996,7.1554144131622,279,295,259,1057,157,4,61,441,43,235,355,101,72,1343,358,218,140,281,284
"19",24.6750945024293,11.7572408246729,268,297,239,483,147,0,128,370,0,88,0,179,66,2192,396,126,270,264,242
"20",26.925131562053,6.38205122416817,261,276,249,1334,223,2,76,626,15,155,626,129,73,1018,354,178,176,249,263
"21",15.3024881810315,-13.9369254195211,194,212,163,1106,243,0,91,576,0,225,8,143,62,1971,295,68,227,203,165
"22",33.6510213170145,-9.41675841736318,235,253,211,2325,655,13,94,1389,50,352,192,105,63,1613,315,150,165,233,236
"23",18.591320577571,7.54527311043717,252,269,234,1254,252,0,89,712,5,215,14,160,65,1302,363,119,244,251,237
"24",16.5244967120508,3.55455483434917,238,246,232,1596,220,28,48,621,113,297,574,111,77,584,311,168,143,234,237
"25",25.7591608780919,-11.0463667681687,199,216,170,1200,227,0,91,624,2,289,6,137,61,1877,300,76,224,210,171
"26",14.8737606861767,0.059854713636021,249,257,238,1662,243,22,48,599,130,574,130,99,79,721,313,189,124,248,238
"27",1.70784476510427,7.04058020333267,267,283,250,1093,153,5,58,418,47,272,391,100,72,1247,346,208,138,269,271
"28",34.0027563216503,2.34841719744777,237,249,226,974,142,16,51,357,71,106,354,128,81,875,325,167,158,226,246
"29",8.0871648589025,11.3416120612609,252,283,228,974,276,0,116,674,1,127,1,134,59,2158,363,136,227,242,228
"30",37.0750278935559,0.661287380017633,208,217,201,933,243,18,88,484,56,364,61,172,87,656,310,113,197,217,201
"31",23.1515112916383,-10.1851370884764,232,243,214,1324,245,0,85,650,2,318,10,147,68,1178,331,117,214,236,214
"32",-8.05625970506884,5.13628458903467,251,262,239,3158,416,127,35,1034,495,671,763,87,73,915,316,198,118,253,254
"33",-11.636998283767,9.10986903464044,236,251,224,2574,485,10,80,1332,48,179,1332,112,63,1077,328,151,177,224,234
"34",15.5369595480849,-12.1805869021472,202,214,180,1253,228,0,83,594,2,340,17,125,63,1399,290,94,196,208,181
"35",14.8041406648577,-7.84139389852545,231,243,216,919,169,3,73,406,12,365,28,107,71,1040,297,148,149,243,219
"36",-10.3896542620935,7.1820874578098,257,265,243,2636,468,22,64,1203,152,478,1203,108,80,915,330,195,135,243,263
"37",-1.22964580681774,8.76743840523838,280,302,262,1123,220,2,76,517,15,164,517,111,67,1469,370,206,164,262,286
"38",-9.24683205340722,5.43599455721528,256,262,247,3548,591,89,55,1324,387,387,1058,99,84,586,320,203,117,253,262
"39",31.6239504589721,5.85744077229831,275,290,258,905,149,3,69,402,15,136,402,127,73,1213,369,196,173,258,282
"40",12.3533142152725,-5.02905284567933,250,268,222,1037,182,0,81,495,1,495,1,72,54,1836,310,179,131,268,222
"41",-4.67506203337158,7.99028643880951,269,282,252,1093,196,9,61,428,46,246,416,114,75,1127,352,201,151,257,269
"42",34.6826352168833,4.96098248965735,272,285,261,525,84,8,45,202,56,92,147,120,80,908,356,206,150,277,279
"43",15.6639443531025,-8.55634903159894,211,222,189,1156,205,0,79,497,1,483,1,124,70,1317,279,104,175,222,189
"44",39.841395614762,-3.53143884692902,258,272,241,1026,248,14,70,505,79,200,214,80,67,1204,321,203,118,258,270
"45",36.6116106333409,-7.4382836737164,219,235,197,1130,234,4,88,611,21,403,27,98,64,1516,293,140,153,228,201
"46",5.52407943891454,13.9767862326412,284,322,246,442,145,0,137,343,0,93,0,144,58,2859,400,153,247,280,265
"47",9.01280704939598,9.9693347765691,233,257,219,1263,286,0,102,785,2,238,785,122,64,1569,328,139,189,219,222
"48",37.7803142973631,-8.4085249325373,245,260,222,1223,243,6,86,656,29,407,30,77,61,1527,300,175,125,255,226
"49",31.9502056105634,-1.07362041644098,212,216,206,1854,333,48,55,843,187,688,187,106,84,397,272,147,125,215,206
"50",13.9162027332499,-15.98563367664,206,224,174,576,145,0,103,369,0,150,0,137,65,2027,296,88,208,218,174
"51",32.1952543596136,4.4271861906202,268,287,249,1016,155,5,62,430,34,65,430,139,75,1412,372,189,183,249,281
"52",25.4170052909024,0.303975267858778,252,258,244,1777,226,74,29,595,278,449,460,98,85,549,312,197,115,250,254
"53",-6.05436235518695,5.89210927312212,260,271,247,1420,232,28,48,564,144,342,326,85,75,876,323,210,113,264,263
"54",33.0538750109955,2.89152349834504,236,252,224,1250,195,9,56,499,67,107,499,135,77,1071,336,161,175,224,246
"55",-12.2680748266492,8.25861081453355,262,276,250,2787,617,4,90,1601,34,116,1601,91,67,997,336,202,134,250,262
"56",12.896272649012,6.5151589255965,233,244,224,1631,275,2,77,802,14,198,802,117,71,767,317,153,164,224,233
"57",27.6010792965977,-2.56377268312016,234,236,230,1921,239,64,37,675,217,409,281,108,85,286,297,170,127,233,230
"58",13.4135577215153,0.979248391022811,237,246,224,1614,284,24,55,651,135,560,135,100,78,892,303,176,127,237,224
"59",39.3241364757853,-0.601286721511922,274,288,257,424,130,4,109,235,12,141,12,133,77,1180,363,191,172,277,257
